iter	MultiClass
0	2.678811966
1	2.579393663
2	2.472631207
3	2.380565105
4	2.302514316
5	2.232581896
6	2.172709147
7	2.11743024
8	2.059449671
9	2.012978321
10	1.973588373
11	1.941452944
12	1.907613313
13	1.872878204
14	1.840416756
15	1.807313214
16	1.784732431
17	1.758196875
18	1.733569562
19	1.704854053
20	1.67863601
21	1.662453623
22	1.639243626
23	1.623125747
24	1.608646939
25	1.590694021
26	1.572151482
27	1.553486245
28	1.534062635
29	1.519830468
30	1.505963276
31	1.487930905
32	1.471040633
33	1.455718269
34	1.437401863
35	1.425638789
36	1.412397146
37	1.401718119
38	1.384691493
39	1.377549147
40	1.363489691
41	1.352103524
42	1.341990928
43	1.328268921
44	1.317197721
45	1.306128575
46	1.292634129
47	1.282910001
48	1.273842129
49	1.263445229
50	1.255889284
51	1.246186028
52	1.237134299
53	1.227338527
54	1.216125025
55	1.204583378
56	1.198774868
57	1.191337758
58	1.182041876
59	1.174537355
60	1.166723078
61	1.15971284
62	1.151161832
63	1.144235149
64	1.136336259
65	1.129189519
66	1.121208248
67	1.114179027
68	1.106048504
69	1.100088907
70	1.093869583
71	1.087174312
72	1.079573612
73	1.073607875
74	1.068331886
75	1.064703536
76	1.055541273
77	1.046287863
78	1.041298964
79	1.037026321
80	1.029516787
81	1.021701497
82	1.017476624
83	1.012178173
84	1.003696183
85	1.000140708
86	0.9944923249
87	0.9881557027
88	0.9836909692
89	0.9783131252
90	0.9717003389
91	0.9650017703
92	0.9618562079
93	0.955990391
94	0.9502968876
95	0.9449235695
96	0.9391083157
97	0.9336107031
98	0.9283366041
99	0.9241416472
100	0.9192222691
101	0.9150122898
102	0.9093242391
103	0.9057914684
104	0.9020497197
105	0.897202505
106	0.8911011754
107	0.8857568329
108	0.8834820319
109	0.8811486318
110	0.8763053914
111	0.8722929997
112	0.8686862554
113	0.864156715
114	0.8612707927
115	0.8570844086
116	0.8540914494
117	0.8488666957
118	0.8448499721
119	0.8406683296
120	0.8383922992
121	0.8351462912
122	0.8326850074
123	0.8296680252
124	0.8260420791
125	0.8221197596
126	0.8183564248
127	0.8131811726
128	0.8080624589
129	0.805707941
130	0.8015470073
131	0.8000731932
132	0.7978254656
133	0.7957398138
134	0.7919530572
135	0.7881024028
136	0.7846489157
137	0.7815911231
138	0.7788660409
139	0.7752355523
140	0.7709384618
141	0.7670402367
142	0.7655064647
143	0.7626638706
144	0.7583775885
145	0.755329428
146	0.752001754
147	0.7491865395
148	0.7470226359
149	0.7442676374
150	0.7428463728
151	0.738638934
152	0.7352950487
153	0.7334534981
154	0.7303219239
155	0.7269775183
156	0.7238792247
157	0.7217894382
158	0.7188194669
159	0.7135172986
160	0.7109668785
161	0.7089826536
162	0.7061996533
163	0.7026224522
164	0.6995556172
165	0.6968774962
166	0.6935583083
167	0.6920453241
168	0.6886005223
169	0.6845803466
170	0.6802072249
171	0.6773002511
172	0.6758894231
173	0.6731942877
174	0.6696221148
175	0.6673329211
176	0.6658712175
177	0.6636454493
178	0.6607557445
179	0.6586530822
180	0.6557963307
181	0.6547972369
182	0.653690795
183	0.6508325362
184	0.6467542771
185	0.6442476018
186	0.64138409
187	0.6390269144
188	0.6370649759
189	0.6347083372
190	0.6322687174
191	0.6305739929
192	0.6279023859
193	0.6235206844
194	0.6224083538
195	0.6201364997
196	0.6172057807
197	0.6162484764
198	0.6142233095
199	0.6124495307
200	0.6111095663
201	0.6087889136
202	0.6064076884
203	0.6044717212
204	0.6022413014
205	0.6002243795
206	0.5983405473
207	0.5954448573
208	0.5942247156
209	0.5920546665
210	0.5908336606
211	0.587048271
212	0.5849967436
213	0.5825817845
214	0.5796818882
215	0.5769718435
216	0.5745479943
217	0.5720503728
218	0.5701603749
219	0.5677663982
220	0.5660480576
221	0.5645903656
222	0.5620459156
223	0.560520828
224	0.5583383864
225	0.5571381428
226	0.554631905
227	0.553694705
228	0.549968982
229	0.5479357371
230	0.546134578
231	0.5452385821
232	0.5444579892
233	0.5422310697
234	0.5408265972
235	0.5403416431
236	0.5390254252
237	0.5375493411
238	0.5354382925
239	0.5333932431
240	0.5316655572
241	0.529075646
242	0.5275794317
243	0.5261789129
244	0.5242823072
245	0.5233889657
246	0.5212692621
247	0.5200069063
248	0.5184536279
249	0.5171846949
250	0.5157106068
251	0.5137265304
252	0.5126425027
253	0.5107207788
254	0.5080477569
255	0.5065729604
256	0.50523492
257	0.5028902585
258	0.5017459651
259	0.4999658194
260	0.4983479792
261	0.4972196109
262	0.4968522417
263	0.4950222414
264	0.4941982169
265	0.4927948119
266	0.4916381614
267	0.4894143881
268	0.4877484289
269	0.4855455536
270	0.4848560578
271	0.4820745123
272	0.4808929313
273	0.4798330374
274	0.4787717859
275	0.4770428581
276	0.476053367
277	0.4748934407
278	0.4733586877
279	0.4726087636
280	0.4705022512
281	0.4690780937
282	0.4675223045
283	0.466623576
284	0.4649201192
285	0.4629242979
286	0.4617531428
287	0.4602874984
288	0.4580803862
289	0.4568676777
290	0.4556438982
291	0.4540385447
292	0.4519988747
293	0.4509862589
294	0.4489885789
295	0.4473019473
296	0.446173815
297	0.4446604266
298	0.4435456536
299	0.4425254822
300	0.4416462782
301	0.440217902
302	0.4380973
303	0.4370278291
304	0.4357733223
305	0.4337788721
306	0.4327256891
307	0.4307884564
308	0.4297940342
309	0.4291789385
310	0.4278156433
311	0.4268724692
312	0.4257486642
313	0.4242780749
314	0.4224971668
315	0.4209536547
316	0.4198458742
317	0.4185676538
318	0.4168808173
319	0.4154554266
320	0.4138356838
321	0.4120844556
322	0.4115424794
323	0.4097621858
324	0.4085235293
325	0.4079218745
326	0.4066872374
327	0.406116
328	0.4050856926
329	0.4042395959
