iter	Passed	Remaining
0	16	16134
1	31	15661
2	45	15224
3	59	14754
4	73	14541
5	86	14270
6	100	14237
7	113	14105
8	127	14038
9	140	13952
10	154	13895
11	167	13781
12	182	13832
13	197	13898
14	212	13985
15	227	13963
16	240	13908
17	254	13899
18	269	13900
19	283	13898
20	297	13877
21	314	13967
22	339	14403
23	373	15177
24	395	15423
25	418	15692
26	439	15850
27	457	15867
28	471	15791
29	485	15696
30	501	15677
31	518	15684
32	533	15625
33	548	15573
34	561	15468
35	574	15390
36	588	15316
37	602	15248
38	615	15165
39	628	15085
40	643	15047
41	658	15030
42	673	14979
43	687	14928
44	701	14880
45	715	14845
46	729	14798
47	742	14731
48	756	14686
49	774	14709
50	790	14701
51	806	14705
52	819	14648
53	833	14601
54	846	14547
55	862	14544
56	876	14506
57	890	14467
58	905	14440
59	920	14428
60	937	14427
61	955	14461
62	973	14477
63	992	14509
64	1008	14503
65	1025	14506
66	1041	14510
67	1057	14491
68	1072	14475
69	1089	14481
70	1106	14473
71	1122	14465
72	1138	14461
73	1154	14449
74	1171	14443
75	1187	14434
76	1202	14410
77	1217	14392
78	1234	14387
79	1250	14379
80	1265	14356
81	1282	14355
82	1297	14337
83	1312	14312
84	1328	14302
85	1343	14282
86	1359	14268
87	1375	14251
88	1391	14246
89	1407	14229
90	1422	14206
91	1437	14188
92	1452	14169
93	1468	14153
94	1483	14129
95	1498	14108
96	1513	14085
97	1528	14066
98	1543	14047
99	1558	14027
100	1573	14003
101	1587	13974
102	1602	13954
103	1616	13924
104	1631	13902
105	1645	13874
106	1659	13851
107	1674	13826
108	1688	13799
109	1702	13777
110	1718	13759
111	1732	13738
112	1749	13730
113	1765	13721
114	1782	13717
115	1800	13717
116	1814	13696
117	1829	13676
118	1844	13658
119	1860	13643
120	1876	13630
121	1890	13604
122	1904	13578
123	1918	13550
124	1932	13525
125	1945	13495
126	1959	13467
127	1972	13437
128	1986	13410
129	2000	13384
130	2013	13356
131	2027	13330
132	2040	13301
133	2053	13274
134	2067	13248
135	2081	13223
136	2095	13199
137	2109	13176
138	2123	13153
139	2137	13130
140	2150	13103
141	2164	13078
142	2177	13050
143	2190	13022
144	2204	12997
145	2217	12970
146	2229	12939
147	2243	12915
148	2256	12887
149	2270	12863
150	2283	12837
151	2295	12808
152	2308	12781
153	2322	12757
154	2336	12735
155	2349	12710
156	2363	12688
157	2376	12665
158	2389	12639
159	2402	12614
160	2416	12591
161	2430	12571
162	2443	12544
163	2456	12521
164	2469	12497
165	2482	12474
166	2497	12455
167	2511	12436
168	2524	12414
169	2538	12394
170	2554	12383
171	2567	12360
